Date,Close,High,Low,Open,Volume
1/2/2024,248.4199982,251.25,244.4100037,250.0800018,104654200
1/3/2024,238.4499969,245.6799927,236.3200073,244.9799957,121082600
1/4/2024,237.9299927,242.6999969,237.7299957,239.25,102629300
1/5/2024,237.4900055,240.1199951,234.8999939,236.8600006,92379400
1/8/2024,240.4499969,241.25,235.3000031,236.1399994,85166600
1/9/2024,234.9600067,238.9600067,232.0399933,238.1100006,96705700
1/10/2024,233.9400024,235.5,231.2899933,235.1000061,91628500
1/11/2024,227.2200012,230.9299927,225.3699951,230.5700073,105873600
1/12/2024,218.8899994,225.3399963,217.1499939,220.0800018,122889000
1/16/2024,219.9100037,223.4900055,212.1799927,215.1000061,115355000
1/17/2024,215.5500031,215.6699982,212.0099945,214.8600006,103164400
1/18/2024,211.8800049,217.4499969,208.7400055,216.8800049,108595400
1/19/2024,212.1900024,213.1900024,207.5599976,209.9900055,102095800
1/22/2024,208.8000031,217.8000031,206.2700043,212.2599945,117952500
1/23/2024,209.1399994,215.6499939,207.75,211.3000031,106605900
1/24/2024,207.8300018,212.7299957,206.7700043,211.8800049,123369900
1/25/2024,182.6300049,193,180.0599976,189.6999969,198076800
1/26/2024,183.25,186.7799988,182.1000061,185.5,107343200
1/29/2024,190.9299927,191.4799957,183.6699982,185.6300049,125013100
1/30/2024,191.5899963,196.3600006,190.6100006,195.3300018,109982300
1/31/2024,187.2899933,193.9700012,185.8500061,187,103221400
2/1/2024,188.8600006,189.8800049,184.2799988,188.5,91843300
2/2/2024,187.9100037,188.6900024,182,185.0399933,110505100
2/5/2024,181.0599976,184.6799927,175.0099945,184.2599945,134294400
2/6/2024,185.1000061,186.4900055,177.1100006,177.2100067,122676000
2/7/2024,187.5800018,189.7899933,182.6799927,188.1799927,111535200
2/8/2024,189.5599976,191.6199951,185.5800018,189,83034000
2/9/2024,193.5700073,194.1199951,189.4799957,190.1799927,84476300
2/12/2024,188.1300049,194.7299957,187.2799988,192.1100006,95498600
2/13/2024,184.0200043,187.2599945,182.1100006,183.9900055,86759500
2/14/2024,188.7100067,188.8899994,183.3500061,185.3000031,81203000
2/15/2024,200.4499969,200.8800049,188.8600006,189.1600037,120831800
2/16/2024,199.9499969,203.1699982,197.3999939,202.0599976,111173600
2/20/2024,193.7599945,198.6000061,189.1300049,196.1300049,104545800
2/21/2024,194.7700043,199.4400024,191.9499969,193.3600006,103844000
2/22/2024,197.4100037,198.3200073,191.3600006,194,92739500
2/23/2024,191.9700012,197.5700073,191.5,195.3099976,78841900
2/26/2024,199.3999939,201.7799988,192,192.2899933,111747100
2/27/2024,199.7299957,205.6000061,198.2599945,204.0399933,108645400
2/28/2024,202.0399933,205.3000031,198.4400024,200.4199982,99806200
2/29/2024,201.8800049,205.2799988,198.4499969,204.1799927,85907000
3/1/2024,202.6399994,204.5200043,198.5,200.5200043,82099200
3/4/2024,188.1399994,199.75,186.7200012,198.7299957,134334900
3/5/2024,180.7400055,184.5899963,177.5700073,183.0500031,119660800
3/6/2024,176.5399933,181.5800018,173.6999969,179.9900055,107920900
3/7/2024,178.6499939,180.0399933,173.6999969,174.3500061,102129000
3/8/2024,175.3399963,182.7299957,174.6999969,181.5,85315300
3/11/2024,177.7700043,182.8699951,174.8000031,175.4499969,85391500
3/12/2024,177.5399933,179.4299927,172.4100037,177.7700043,87391700
3/13/2024,169.4799957,176.0500031,169.1499939,173.0500031,106524500
3/14/2024,162.5,171.1699982,160.5099945,167.7700043,126325700
3/15/2024,163.5700073,165.1799927,160.7599945,163.1600037,96971900
3/18/2024,173.8000031,174.7200012,165.8999939,170.0200043,108214400
3/19/2024,171.3200073,172.8200073,167.4199982,172.3600006,77271400
3/20/2024,175.6600037,176.25,170.8200073,173,83846700
3/21/2024,172.8200073,178.1799927,171.8000031,176.3899994,73178000
3/22/2024,170.8300018,171.1999969,166.3000031,166.6900024,75454700
3/25/2024,172.6300049,175.2400055,168.7299957,168.7599945,74228600
3/26/2024,177.6699982,184.25,177.3800049,178.5800018,113186200
3/27/2024,179.8300018,181.9100037,176,181.4100037,81804000
3/28/2024,175.7899933,179.5700073,175.3000031,177.4499969,77654800
4/1/2024,175.2200012,176.75,170.2100067,176.1699982,81562100
4/2/2024,166.6300049,167.6900024,163.4299927,164.75,116650600
4/3/2024,168.3800049,168.8200073,163.2799988,164.0200043,82950100
4/4/2024,171.1100006,177.1900024,168.0099945,170.0700073,123162000
4/5/2024,164.8999939,170.8600006,160.5099945,169.0800018,141250700
4/8/2024,172.9799957,174.5,167.7899933,169.3399963,104423300
4/9/2024,176.8800049,179.2200012,171.9199982,172.9100037,103232700
4/10/2024,171.7599945,174.9299927,170.0099945,173.0399933,84532400
4/11/2024,174.6000061,175.8800049,168.5099945,172.5500031,94516000
4/12/2024,171.0500031,173.8099976,170.3600006,172.3399963,64506600
4/15/2024,161.4799957,170.6900024,161.3800049,170.2400055,100245300
4/16/2024,157.1100006,158.1900024,153.75,156.7400055,97000000
4/17/2024,155.4499969,158.3300018,153.7799988,157.6399994,82439700
4/18/2024,149.9299927,152.1999969,148.6999969,151.25,96098800
4/19/2024,147.0500031,150.9400024,146.2200012,148.9700012,86005100
4/22/2024,142.0500031,144.4400024,138.8000031,140.5599976,107097600
4/23/2024,144.6799927,147.2599945,141.1100006,143.3300018,124545100
4/24/2024,162.1300049,167.9700012,157.5099945,162.8399963,181178000
4/25/2024,170.1799927,170.8800049,158.3600006,158.9600067,126427500
4/26/2024,168.2899933,172.1199951,166.3699951,168.8500061,109815700
4/29/2024,194.0500031,198.8699951,184.5399933,188.4199982,243869700
4/30/2024,183.2799988,190.9499969,182.8399963,186.9799957,127031800
5/1/2024,179.9900055,185.8600006,179.0099945,182,92829700
5/2/2024,180.0099945,184.6000061,176.0200043,182.8600006,89148000
5/3/2024,181.1900024,184.7799988,178.4199982,182.1000061,75491500
5/6/2024,184.7599945,187.5599976,182.1999969,183.8000031,84390300
5/7/2024,177.8099976,183.2599945,177.3999939,182.3999939,75045900
5/8/2024,174.7200012,176.0599976,170.1499939,171.5899963,79969500
5/9/2024,171.9700012,175.6199951,171.3699951,175.0099945,65950300
5/10/2024,168.4700012,173.0599976,167.75,173.0500031,72627200
5/13/2024,171.8899994,175.3999939,169,170,67018900
5/14/2024,177.5500031,179.4900055,174.0700073,174.5,86407400
5/15/2024,173.9900055,180,173.1100006,179.8999939,79663000
5/16/2024,174.8399963,175.7899933,171.4299927,174.1000061,59812200
5/17/2024,177.4600067,179.6300049,172.75,173.5500031,77445800
5/20/2024,174.9499969,177.75,173.5200043,177.5599976,61727400
5/21/2024,186.6000061,186.8800049,174.7100067,175.5099945,115266500
5/22/2024,180.1100006,183.8000031,178.1199951,182.8500061,88313500
5/23/2024,173.7400055,181.8999939,173.2599945,181.8000031,71975500
5/24/2024,179.2400055,180.0800018,173.7299957,174.8399963,65479700
5/28/2024,176.75,178.25,173.1600037,176.3999939,59736600
5/29/2024,176.1900024,178.1499939,173.9299927,174.1900024,54782600
5/30/2024,178.7899933,182.6699982,175.3800049,178.5800018,77784800
5/31/2024,178.0800018,180.3200073,173.8200073,178.5,67314600
6/3/2024,176.2899933,182.6399994,174.4900055,178.1300049,68568900
6/4/2024,174.7700043,177.7599945,174,174.7799988,60056300
6/5/2024,175,176.1499939,172.1300049,175.3500061,57953800
6/6/2024,177.9400024,179.7299957,172.7299957,174.6000061,69887000
6/7/2024,177.4799957,179.3500061,175.5800018,176.1300049,56244900
6/10/2024,173.7899933,178.5700073,173.1699982,176.0599976,50869700
6/11/2024,170.6600037,174.75,167.4100037,173.9199982,64761900
6/12/2024,177.2899933,180.5500031,169.8000031,171.1199951,90389400
6/13/2024,182.4700012,191.0800018,181.2299957,188.3899994,118984100
6/14/2024,178.0099945,186,176.9199982,185.8000031,82038200
6/17/2024,187.4400024,188.8099976,177,177.9199982,109786100
6/18/2024,184.8600006,187.1999969,182.3699951,186.5599976,68982300
6/20/2024,181.5700073,185.2100067,179.6600037,184.6799927,55893100
6/21/2024,183.0099945,183.9499969,180.6900024,182.3000031,63029500
6/24/2024,182.5800018,188.8000031,182.5500031,184.9700012,61992100
6/25/2024,187.3500061,187.9700012,182.0099945,184.3999939,63678300
6/26/2024,196.3699951,197.7599945,186.3600006,186.5399933,95737100
6/27/2024,197.4199982,198.7200012,194.0500031,195.1699982,72746500
6/28/2024,197.8800049,203.1999969,195.2599945,199.5500031,95438100
7/1/2024,209.8600006,213.2299957,200.8500061,201.0200043,135691400
7/2/2024,231.2599945,231.3000031,218.0599976,218.8899994,205047900
7/3/2024,246.3899994,248.3500061,234.25,234.5599976,166561500
7/5/2024,251.5200043,252.3699951,242.4600067,249.8099976,154501200
7/8/2024,252.9400024,259.4400024,244.5700073,247.7100067,157219600
7/9/2024,262.3299866,265.6099854,250.3000031,251,160210900
7/10/2024,263.2600098,267.5899963,257.8599854,262.7999878,128519400
7/11/2024,241.0299988,271,239.6499939,263.2999878,221707300
7/12/2024,248.2299957,251.8399963,233.0899963,235.8000031,155955800
7/15/2024,252.6399994,265.6000061,251.7299957,255.9700012,146912900
7/16/2024,256.5599976,258.6199951,245.8000031,255.3099976,126332500
7/17/2024,248.5,258.4700012,246.1799927,252.7299957,115584800
